,movie_title,duration
0,Avatar ,178.0
1,Pirates of the Caribbean: At World's End ,169.0
2,Spectre ,148.0
3,The Dark Knight Rises ,164.0
4,Star Wars: Episode VII - The Force Awakens             ,
5,John Carter ,132.0
6,Spider-Man 3 ,156.0
7,Tangled ,100.0
8,Avengers: Age of Ultron ,141.0
9,Harry Potter and the Half-Blood Prince ,153.0
10,Batman v Superman: Dawn of Justice ,183.0
11,Superman Returns ,169.0
12,Quantum of Solace ,106.0
13,Pirates of the Caribbean: Dead Man's Chest ,151.0
14,The Lone Ranger ,150.0
15,Man of Steel ,143.0
16,The Chronicles of Narnia: Prince Caspian ,150.0
17,The Avengers ,173.0
18,Pirates of the Caribbean: On Stranger Tides ,136.0
19,Men in Black 3 ,106.0
20,The Hobbit: The Battle of the Five Armies ,164.0
21,The Amazing Spider-Man ,153.0
22,Robin Hood ,156.0
23,The Hobbit: The Desolation of Smaug ,186.0
24,The Golden Compass ,113.0
25,King Kong ,201.0
26,Titanic ,194.0
27,Captain America: Civil War ,147.0
28,Battleship ,131.0
29,Jurassic World ,124.0
30,Skyfall ,143.0
31,Spider-Man 2 ,135.0
32,Iron Man 3 ,195.0
33,Alice in Wonderland ,108.0
34,X-Men: The Last Stand ,104.0
35,Monsters University ,104.0
36,Transformers: Revenge of the Fallen ,150.0
37,Transformers: Age of Extinction ,165.0
38,Oz the Great and Powerful ,130.0
39,The Amazing Spider-Man 2 ,142.0
40,TRON: Legacy ,125.0
41,Cars 2 ,106.0
42,Green Lantern ,123.0
43,Toy Story 3 ,103.0
44,Terminator Salvation ,118.0
45,Furious 7 ,140.0
46,World War Z ,123.0
47,X-Men: Days of Future Past ,149.0
48,Star Trek Into Darkness ,132.0
49,Jack the Giant Slayer ,114.0
50,The Great Gatsby ,143.0
51,Prince of Persia: The Sands of Time ,116.0
52,Pacific Rim ,131.0
53,Transformers: Dark of the Moon ,154.0
54,Indiana Jones and the Kingdom of the Crystal Skull ,122.0
55,The Good Dinosaur ,93.0
56,Brave ,93.0
57,Star Trek Beyond ,122.0
58,WALL·E ,98.0
59,Rush Hour 3 ,91.0
60,2012 ,158.0
61,A Christmas Carol ,96.0
62,Jupiter Ascending ,127.0
63,The Legend of Tarzan ,110.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150.0
65,X-Men: Apocalypse ,144.0
66,The Dark Knight ,152.0
67,Up ,96.0
68,Monsters vs. Aliens ,94.0
69,Iron Man ,126.0
70,Hugo ,126.0
71,Wild Wild West ,106.0
72,The Mummy: Tomb of the Dragon Emperor ,112.0
73,Suicide Squad ,123.0
74,Evan Almighty ,96.0
75,Edge of Tomorrow ,113.0
76,Waterworld ,176.0
77,G.I. Joe: The Rise of Cobra ,118.0
78,Inside Out ,95.0
79,The Jungle Book ,106.0
80,Iron Man 2 ,124.0
81,Snow White and the Huntsman ,132.0
82,Maleficent ,97.0
83,Dawn of the Planet of the Apes ,130.0
84,The Lovers ,109.0
85,47 Ronin ,128.0
86,Captain America: The Winter Soldier ,136.0
87,Shrek Forever After ,93.0
88,Tomorrowland ,130.0
89,Big Hero 6 ,102.0
90,Wreck-It Ralph ,101.0
91,The Polar Express ,100.0
92,Independence Day: Resurgence ,120.0
93,How to Train Your Dragon ,98.0
94,Terminator 3: Rise of the Machines ,109.0
95,Guardians of the Galaxy ,121.0
96,Interstellar ,169.0
97,Inception ,148.0
98,Godzilla Resurgence ,120.0
99,The Hobbit: An Unexpected Journey ,182.0
100,The Fast and the Furious ,106.0
101,The Curious Case of Benjamin Button ,166.0
102,X-Men: First Class ,132.0
103,The Hunger Games: Mockingjay - Part 2 ,137.0
104,The Sorcerer's Apprentice ,109.0
105,Poseidon ,98.0
106,Alice Through the Looking Glass ,113.0
107,Shrek the Third ,93.0
108,Warcraft ,123.0
109,Terminator Genisys ,126.0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,113.0
111,Pearl Harbor ,184.0
112,Transformers ,144.0
113,Alexander ,206.0
114,Harry Potter and the Order of the Phoenix ,138.0
115,Harry Potter and the Goblet of Fire ,157.0
116,Hancock ,102.0
117,I Am Legend ,104.0
118,Charlie and the Chocolate Factory ,115.0
119,Ratatouille ,111.0
120,Batman Begins ,128.0
121,Madagascar: Escape 2 Africa ,89.0
122,Night at the Museum: Battle of the Smithsonian ,105.0
123,X-Men Origins: Wolverine ,119.0
124,The Matrix Revolutions ,129.0
125,Frozen ,102.0
126,The Matrix Reloaded ,138.0
127,Thor: The Dark World ,112.0
128,Mad Max: Fury Road ,120.0
129,Angels & Demons ,146.0
130,Thor ,115.0
131,Bolt ,96.0
132,G-Force ,88.0
133,Wrath of the Titans ,99.0
134,Dark Shadows ,113.0
135,Mission: Impossible - Rogue Nation ,131.0
136,The Wolfman ,119.0
137,The Legend of Tarzan ,110.0
138,Bee Movie ,91.0
139,Kung Fu Panda 2 ,90.0
140,The Last Airbender ,103.0
141,Mission: Impossible III ,124.0
142,White House Down ,131.0
143,Mars Needs Moms ,88.0
144,Flushed Away ,85.0
145,Pan ,111.0
146,Mr. Peabody & Sherman ,92.0
147,Troy ,196.0
148,Madagascar 3: Europe's Most Wanted ,93.0
149,Die Another Day ,133.0
150,Ghostbusters ,116.0
151,Armageddon ,153.0
152,Men in Black II ,88.0
153,Beowulf ,115.0
154,Kung Fu Panda 3 ,95.0
155,Mission: Impossible - Ghost Protocol ,133.0
156,Rise of the Guardians ,97.0
157,Fun with Dick and Jane ,90.0
158,The Last Samurai ,154.0
159,Exodus: Gods and Kings ,150.0
160,Star Trek ,127.0
161,Spider-Man ,121.0
162,How to Train Your Dragon 2 ,102.0
163,Gods of Egypt ,126.0
164,Stealth ,121.0
165,Watchmen ,215.0
166,Lethal Weapon 4 ,127.0
167,Hulk ,138.0
168,G.I. Joe: Retaliation ,122.0
169,Sahara ,124.0
170,Final Fantasy: The Spirits Within ,106.0
171,Captain America: The First Avenger ,124.0
172,The World Is Not Enough ,128.0
173,Master and Commander: The Far Side of the World ,138.0
174,The Twilight Saga: Breaking Dawn - Part 2 ,115.0
175,Happy Feet 2 ,100.0
176,The Incredible Hulk ,135.0
177,Miami Vice             ,60.0
178,The BFG ,117.0
179,The Revenant ,156.0
180,Turbo ,96.0
181,Rango ,107.0
182,Penguins of Madagascar ,92.0
183,The Bourne Ultimatum ,115.0
184,Kung Fu Panda ,92.0
185,Ant-Man ,117.0
186,The Hunger Games: Catching Fire ,146.0
187,The Twilight Saga: Breaking Dawn - Part 2 ,115.0
188,Home ,94.0
189,War of the Worlds ,116.0
190,Bad Boys II ,147.0
191,Puss in Boots ,90.0
192,Salt ,101.0
193,Noah ,138.0
194,The Adventures of Tintin ,107.0
195,Harry Potter and the Prisoner of Azkaban ,142.0
196,Australia ,165.0
197,After Earth ,100.0
198,Dinosaur ,82.0
199,Harry Potter and the Deathly Hallows: Part II ,
200,Night at the Museum: Secret of the Tomb ,98.0
201,Megamind ,95.0
202,Harry Potter and the Sorcerer's Stone ,159.0
203,R.I.P.D. ,96.0
204,Godzilla Resurgence ,120.0
205,Pirates of the Caribbean: The Curse of the Black Pearl ,143.0
206,Harry Potter and the Deathly Hallows: Part I ,
207,The Hunger Games: Mockingjay - Part 1 ,123.0
208,The Da Vinci Code ,174.0
209,Rio 2 ,101.0
210,X-Men 2 ,134.0
211,Fast Five ,132.0
212,Sherlock Holmes: A Game of Shadows ,129.0
213,Clash of the Titans ,106.0
214,Total Recall ,113.0
215,The 13th Warrior ,102.0
216,The Bourne Legacy ,135.0
217,Batman & Robin ,125.0
218,How the Grinch Stole Christmas ,110.0
219,The Day After Tomorrow ,124.0
